#{"t_start": 1763843689.5770948, "env_id": "None"}
r,l,t,win
-75.67,127,6451.845413,0
-224.34,168,6453.155011,0
-147.91,124,6454.106998,0
-267.46,118,6455.043383,0
-83.87,116,6455.946144,0
-64.19,50,6456.318595,0
-130.71,102,6457.117911,0
-82.66,103,6457.901379,0
-31.19,67,6458.423183,0
63.29,60,6458.885031,0
55.1,46,6459.252924,0
111.23,21,6459.410843,1
-209.71,93,6460.135365,0
-64.87,131,6461.161545,0
-7.57,152,6462.331,0
-116.3,146,6463.460805,0
-27.87,86,6464.145123,0
-195.21,102,6464.918306,0
-73.01,98,6465.694684,0
-75.19,89,6466.399068,0
-115.53,102,6467.226394,0
-57.53,118,6468.146178,0
-34.62,67,6468.72476,0
-137.48,122,6469.711819,0
-42.66,54,6470.156288,0
-126.7,99,6470.941134,0
-160.8,133,6471.998979,0
-75.58,48,6472.381698,0
-352.65,156,6473.621231,0
-75.38,90,6474.325054,0
-43.08,114,6475.254833,0
-446.38,268,6477.408662,0
-194.25,126,6478.408885,0
38.3,126,6479.422412,0
-67.72,109,6480.313149,0
-147.61,130,6481.388533,0
-380.68,181,6482.863136,0
-155.24,165,6484.225028,0
103.09,27,6484.452408,1
-41.84,34,6484.725059,0
-27.87,125,6485.781792,0
-23.45,73,6486.37739,0
94.0,56,6486.835822,1
-124.25,71,6487.426757,0
-114.59,116,6488.381905,0
-532.37,189,6490.214401,0
-74.12,108,6491.139627,0
-60.68,70,6491.6911,0
-47.95,99,6492.505435,0
-178.27,137,6493.813049,0
-681.23,279,6496.095887,0
-39.99,100,6496.945291,0
-39.82,38,6497.294263,0
-616.35,208,6499.026743,0
-126.44,88,6499.73496,0
-226.26,150,6500.615214,0
-332.59,119,6501.312176,0
-752.59,208,6502.532921,0
-46.17,13,6502.601511,0
-234.26,172,6503.603538,0
-12.32,120,6504.326839,0
52.01,33,6504.520505,0
-798.79,283,6506.188244,0
-186.72,86,6506.709907,0
-39.04,61,6507.067567,0
-386.78,175,6508.10764,0
-38.86,52,6508.415139,0
39.83,67,6508.79042,0
-29.55,121,6509.522803,0
-391.35,172,6510.55653,0
-230.76,122,6511.265457,0
-218.77,139,6512.101069,0
-24.98,114,6512.776745,0
8.26,59,6513.152973,0
-80.3,64,6513.546742,0
-194.14,184,6514.847981,0
-193.8,96,6515.469686,0
29.41,90,6516.03541,0
-262.1,102,6516.660757,0
-37.03,57,6517.02399,0
-41.35,41,6517.379614,0
-640.8,273,6519.232803,0
-24.33,132,6521.055076,0
-69.62,128,6522.568944,0
58.11,58,6523.231253,0
-222.04,113,6525.050114,0
-34.78,109,6526.243219,0
-41.66,32,6526.518565,0
24.19,75,6527.427189,0
34.52,82,6529.021209,0
-35.74,115,6530.909073,0
-589.54,221,6533.255781,0
-199.59,65,6534.030487,0
-73.24,112,6535.299233,0
-38.17,74,6536.093126,0
-35.16,58,6536.493662,0
-333.7,251,6538.053915,0
37.17,37,6538.286934,0
-180.6,65,6538.728451,0
-47.99,27,6538.876302,0
-179.01,77,6539.366618,0
-322.17,137,6540.214335,0
-126.23,146,6541.098545,0
-532.69,235,6542.811491,0
-313.23,134,6543.963505,0
-294.22,148,6545.824936,0
-358.84,142,6547.80844,0
-39.18,37,6548.486778,0
-297.47,306,6552.519608,0
-23.35,99,6553.471455,0
-63.81,124,6554.976737,0
-64.03,91,6556.017415,0
-40.13,33,6556.351852,0
-36.45,65,6557.006947,0
-190.02,97,6557.945532,0
-168.31,95,6559.278528,0
56.96,52,6559.77371,0
-840.4,297,6563.549235,0
-163.42,175,6565.498425,0
-148.74,143,6567.644053,0
-216.68,166,6569.975817,0
-230.68,122,6571.127781,0
-29.49,104,6572.592448,0
6.69,79,6573.363022,0
-997.74,309,6576.549844,0
-493.38,270,6580.309139,0
-446.48,176,6583.058908,0
-421.5,188,6585.367223,0
-36.17,47,6585.866594,0
-187.1,143,6587.427414,0
-514.46,226,6590.575446,0
-338.19,252,6594.075201,0
-60.23,53,6594.94202,0
-70.61,72,6595.612066,0
-49.01,59,6596.58784,0
-435.97,207,6598.954276,0
-103.97,131,6601.211054,0
-110.42,80,6602.125793,0
-225.57,84,6602.961744,0
-435.92,260,6606.122266,0
-50.35,72,6606.883199,0
-35.94,46,6607.200833,0
-165.51,95,6608.506835,0
-35.36,74,6609.093655,0
-248.09,168,6611.439663,0
-878.23,263,6614.84893,0
-40.67,55,6615.567749,0
-240.0,107,6616.661803,0
-38.9,48,6617.230121,0
-48.66,112,6618.34075,0
-413.8,178,6621.016161,0
-82.82,91,6622.568045,0
-139.42,76,6623.243731,0
-63.08,181,6625.627506,0
-33.88,76,6627.336248,0
-116.28,163,6629.335273,0
-33.35,86,6630.338532,0
-248.3,180,6632.122874,0
-119.77,130,6634.234965,0
-28.73,94,6635.565472,0
-35.88,119,6636.802161,0
-37.33,55,6637.758176,0
115.34,54,6638.326766,1
-35.65,66,6639.497089,0
-546.96,238,6642.611857,0
56.26,52,6643.480883,0
121.13,99,6644.639857,1
-310.13,92,6645.48242,0
-45.47,105,6646.614427,0
-62.82,87,6648.005364,0
14.36,115,6649.348917,0
-69.51,116,6651.258319,0
17.73,75,6651.990983,0
-37.72,64,6652.652303,0
-33.16,96,6654.422228,0
-84.3,119,6655.84324,0
-29.77,102,6657.358209,0
-538.12,175,6659.289414,0
55.64,65,6659.91115,0
34.17,94,6660.870191,0
-36.01,47,6661.339167,0
64.55,117,6662.483332,0
-683.93,304,6667.009761,0
15.4,99,6668.346574,0
-97.03,66,6669.433177,0
-66.56,77,6670.188984,0
-440.29,177,6671.933816,0
-33.59,66,6673.497807,0
-55.4,73,6674.151726,0
54.97,54,6675.129195,0
-53.85,73,6676.401745,0
62.82,66,6677.050568,0
-47.38,139,6678.39943,0
-35.08,81,6679.176972,0
-41.65,39,6679.559439,0
-29.64,73,6680.198788,0
-150.64,135,6681.6008,0
51.53,31,6681.936216,0
-40.69,36,6682.681576,0
-1397.07,459,6688.2432,0
-29.0,127,6690.062348,0
-139.63,116,6691.559406,0
-373.23,191,6693.641602,0
59.96,66,6694.194335,0
-85.27,94,6695.3259,0
-35.84,141,6696.755577,0
-139.26,99,6697.873044,0
-37.21,50,6698.327245,0
-38.31,59,6699.487028,0
-84.29,79,6700.915844,0
-79.78,86,6702.367568,0
-608.66,208,6704.650576,0
-181.33,155,6707.175979,0
61.13,59,6707.732936,0
62.9,66,6708.841044,0
-40.52,42,6709.413118,0
51.83,73,6710.009639,0
-425.36,196,6712.907995,0
61.75,63,6713.64963,0
-328.03,211,6716.391464,0
-135.88,122,6718.13248,0
17.12,61,6719.049786,0
-83.18,105,6720.777008,0
-309.89,173,6723.585769,0
-590.46,225,6726.526744,0
5.59,67,6727.170496,0
33.05,86,6728.011285,0
-96.74,124,6729.446358,0
54.54,56,6730.096346,0
-34.68,44,6730.714337,0
-127.09,89,6731.695879,0
-68.83,122,6732.47715,0
-31.23,97,6733.119938,0
-187.79,161,6734.218173,0
207.75,31,6734.401764,1
-33.99,75,6734.953725,0
61.53,64,6735.397329,0
-164.85,63,6735.829057,0
15.07,56,6736.211491,0
-64.58,93,6736.838795,0
-272.2,164,6737.950876,0
-963.39,319,6740.12689,0
-29.95,76,6740.642433,0
-364.11,178,6741.815171,0
60.28,69,6742.325858,0
16.01,109,6743.07056,0
62.8,110,6743.80942,0
-233.4,143,6744.772602,0
-192.27,155,6745.82704,0
70.54,55,6746.212207,1
-30.1,63,6746.607385,0
-182.19,102,6747.312192,0
-66.72,103,6748.014526,0
-430.05,187,6749.253834,0
-603.14,213,6750.696282,0
-226.36,176,6751.886723,0
-134.08,97,6752.523375,0
-151.53,105,6753.240967,0
-67.93,126,6754.123806,0
-102.37,32,6754.330075,0
-62.51,81,6754.873533,0
-643.64,223,6756.385909,0
-290.61,172,6757.552106,0
-78.04,61,6757.959753,0
-303.48,135,6758.886885,0
-152.54,124,6759.727991,0
-51.35,68,6760.192486,0
-200.64,273,6762.060254,0
-51.13,47,6762.383948,0
58.67,77,6762.91934,0
-116.89,131,6763.816603,0
50.96,54,6764.166635,0
58.25,55,6764.558138,0
-32.13,52,6764.920159,0
-57.96,92,6765.548551,0
-200.78,167,6766.714026,0
54.92,43,6766.985046,0
-140.28,160,6768.069799,0
-155.56,135,6769.008711,0
-36.72,55,6769.400512,0
55.76,60,6769.809997,0
-353.9,221,6771.346469,0
-42.05,31,6771.556185,0
22.54,82,6772.107591,0
-38.3,43,6772.460038,0
-44.09,149,6773.490044,0
-45.86,12,6773.571717,0
-36.56,82,6774.146457,0
-430.7,145,6775.139869,0
-688.57,276,6777.02101,0
-464.43,162,6778.147862,0
-194.99,106,6778.854073,0
58.92,64,6779.291297,0
-92.09,141,6780.23833,0
-420.23,162,6781.362071,0
39.39,105,6782.09695,0
-41.65,94,6782.741599,0
-637.3,230,6784.332459,0
-34.36,84,6784.905979,0
54.8,50,6785.301336,0
63.73,107,6786.027177,0
-57.34,95,6786.660629,0
-105.04,103,6787.387463,0
-33.41,79,6787.942658,0
-428.94,230,6789.515887,0
-684.27,274,6791.408108,0
-70.62,137,6792.35475,0
-24.43,141,6793.331117,0
-171.87,80,6793.882225,0
-416.85,273,6795.771275,1
-121.5,114,6796.592562,0
58.78,65,6797.04123,0
60.36,67,6797.520703,0
68.74,110,6798.281541,0
-221.3,227,6799.859344,0
63.94,81,6800.438546,0
-42.69,37,6800.703668,0
48.54,14,6800.797743,0
-34.82,77,6801.318968,0
-48.83,101,6802.133049,0
-27.47,95,6802.836662,0
-55.66,61,6803.314963,0
-52.33,73,6803.903612,0
50.91,31,6804.137154,0
-39.16,83,6804.72029,0
-708.19,224,6806.287557,0
-39.74,43,6806.59763,0
-209.25,91,6807.247034,0
-847.06,301,6809.3294,0
-187.07,110,6810.086517,0
-263.7,110,6810.840455,0
-33.52,104,6811.57278,0
-133.48,79,6812.127787,0
-40.32,88,6812.746348,0
-31.77,82,6813.306583,0
55.73,48,6813.632827,0
-794.51,213,6815.150505,0
-168.34,181,6816.398631,0
-43.47,22,6816.533861,0
67.28,118,6817.376081,0
55.3,41,6817.648753,0
59.59,81,6818.223681,0
-35.26,62,6818.680094,0
-204.35,133,6819.604365,0
55.27,39,6819.866496,0
-49.08,116,6820.687564,0
-60.46,76,6821.22319,0
-1122.35,389,6823.942729,0
-257.04,223,6825.544628,0
-42.62,99,6826.260509,0
-83.42,128,6827.158537,0
-107.0,128,6828.052464,0
-293.77,193,6829.416001,0
-302.08,212,6830.937704,0
-45.21,115,6831.73971,0
-131.99,101,6832.45522,0
50.99,92,6833.15109,0
-665.29,225,6834.767202,0
-201.49,133,6835.752268,0
58.84,50,6836.121121,0
-216.9,133,6837.072651,0
-358.36,147,6838.126248,0
-235.31,192,6839.527668,0
-60.76,59,6839.988348,0
-69.44,179,6841.299145,0
-350.99,140,6842.263484,0
58.8,67,6842.757383,0
59.76,56,6843.171362,0
-123.92,77,6843.715728,0
60.94,90,6844.387918,0
-284.71,123,6845.272734,0
52.08,31,6845.477675,0
-36.1,54,6845.871897,0
-42.85,97,6846.561186,0
35.49,97,6847.246347,0
59.86,78,6847.839062,0
-43.08,90,6848.493497,0
-32.91,84,6849.114587,0
-32.76,60,6849.555046,0
-53.34,140,6850.598068,0
-115.05,158,6851.776474,0
7.6,65,6852.254625,0
-22.26,105,6853.033835,1
57.63,71,6853.59196,0
-10.41,68,6854.079535,0
64.77,97,6854.766539,0
-152.27,275,6856.745706,0
-105.49,88,6857.38631,0
-101.53,92,6858.035317,0
-117.37,115,6858.875483,0
-199.98,129,6859.788961,0
51.93,67,6860.282133,0
-265.62,220,6861.851751,0
-36.98,67,6862.333282,0
-38.07,62,6862.776536,0
48.95,48,6863.118243,0
137.65,46,6863.46429,1
-89.86,79,6864.024874,0
36.4,48,6864.368697,0
-182.64,99,6865.089034,0
-823.49,408,6868.678476,0
-24.71,123,6869.609377,0
-283.47,109,6870.417349,0
-35.78,50,6870.81429,0
47.79,103,6871.54206,0
23.31,91,6872.218468,0
58.79,94,6872.939925,0
-726.72,271,6874.972293,0
-340.75,161,6876.259417,0
-40.94,30,6876.47402,0
-527.0,204,6878.007201,0
-34.39,72,6878.545274,0
-34.29,51,6878.930504,0
