#{"t_start": 1763843689.5770948, "env_id": "None"}
r,l,t,win
55.97,38,7394.751997,0
6.01,111,7396.330411,0
32.85,57,7397.223231,0
6.19,47,7397.881275,0
-44.45,117,7400.027889,0
62.61,58,7400.795852,0
-40.32,53,7401.619045,0
-38.3,49,7402.262964,0
-125.03,71,7403.157377,0
14.74,58,7404.024293,0
-120.97,158,7406.500767,0
60.86,51,7407.164217,0
209.23,47,7407.906515,1
-635.84,213,7410.854921,0
-115.95,155,7413.051703,0
-33.76,64,7414.049753,0
-136.03,106,7415.580986,0
16.38,70,7416.596404,0
48.32,56,7417.364167,0
-16.05,58,7418.185744,0
-61.07,115,7419.781559,0
-61.48,104,7421.278951,0
-37.04,43,7421.838581,0
-167.98,113,7423.346758,0
58.17,58,7424.183877,0
-152.78,96,7425.60509,0
63.16,66,7426.652935,0
-193.28,163,7429.076984,0
-28.77,67,7431.036155,0
-20.64,143,7434.596868,0
-186.68,199,7438.661248,0
-60.9,53,7439.915793,0
56.16,37,7440.559471,0
57.68,54,7441.309599,0
-34.09,73,7442.441528,0
-295.19,141,7444.451317,0
51.52,74,7445.521507,0
56.45,102,7447.008942,0
-34.19,73,7447.548937,0
12.42,78,7448.493862,0
39.02,99,7449.164647,0
-46.14,60,7449.556069,0
-34.42,71,7450.037338,0
58.16,36,7450.280807,0
23.41,53,7450.626831,0
-34.48,51,7450.971936,0
-33.27,55,7452.054602,0
30.0,220,7455.095262,0
67.72,104,7457.023761,0
59.9,77,7458.183469,0
-26.74,140,7460.117893,0
-26.25,105,7461.948232,0
-55.65,157,12732.564816,0
52.77,85,12733.530848,0
-36.7,67,12734.257002,0
49.83,73,12734.921216,0
50.45,107,12736.100252,0
50.9,50,12736.569987,0
-64.25,68,12737.2323,0
-35.27,104,12738.192792,0
60.46,63,12738.82547,0
-51.85,95,12739.72242,0
-35.73,44,12740.153746,0
117.54,52,12740.668492,1
-42.08,45,12741.078313,0
15.71,170,12742.73619,0
-54.24,104,12743.782518,0
-36.11,92,12744.659458,0
-49.96,78,12745.423226,0
-51.47,66,12746.327509,0
-32.52,72,12747.006239,0
-40.55,68,12747.684464,0
-43.94,81,12748.367106,0
-44.58,72,12748.969225,0
-61.14,72,12749.559307,0
50.22,71,12750.141066,0
-54.53,59,12750.749861,0
-46.64,60,12751.337639,0
-52.3,91,12752.301544,0
-33.01,73,12753.009906,0
-22.16,182,12754.710346,0
67.33,110,12755.729364,0
28.26,59,12756.467543,0
58.69,159,12757.962416,0
25.38,96,12758.951911,0
-30.45,71,12759.591938,0
-53.79,80,12760.633519,0
57.39,47,12761.174445,0
57.27,77,12761.988274,0
49.32,49,12762.515144,0
-1.97,107,12763.530935,0
-45.69,46,12764.020009,0
65.31,142,12765.385952,0
-33.77,83,12766.385656,0
-46.38,89,12767.262625,0
-55.9,88,12768.04869,0
57.45,73,12768.760258,0
51.05,99,12769.873355,0
-35.42,45,12770.493696,0
-48.44,87,12771.303701,0
40.09,73,12772.058257,0
57.44,106,12773.014279,0
-30.57,113,12774.069721,0
-39.99,30,12774.393211,0
-46.0,53,12774.882032,0
-36.82,93,12775.923557,0
52.43,130,12777.177442,0
24.15,176,12778.912752,0
48.37,89,12779.750802,0
54.7,45,12780.142072,0
54.01,63,12780.731198,0
50.89,30,12781.046643,0
-42.64,25,12781.290911,0
47.22,85,12782.169502,0
-41.87,98,12783.105242,0
45.15,64,12783.796525,0
-57.37,216,12786.224253,0
-43.98,20,12786.493001,0
-47.62,27,12786.832789,0
54.56,39,12787.302962,0
62.24,64,12788.059737,0
-47.61,87,12789.072901,0
-32.68,83,12790.05834,0
41.77,94,12791.019333,0
-41.92,31,12791.342265,0
-37.65,55,12791.887089,0
29.74,95,12792.817716,0
-23.48,125,12794.108054,0
82.51,194,12795.9823,0
-63.91,112,12797.071118,0
44.25,119,12798.235645,0
62.19,83,12799.093765,0
-30.76,118,12800.253839,0
47.72,63,12800.909041,0
-37.78,51,12801.424,0
-32.24,76,12802.191044,0
-39.77,35,12802.488509,0
49.51,42,12803.774035,0
57.48,52,12804.345149,0
58.54,105,12805.407778,0
-30.74,91,12806.387317,0
-28.7,78,12807.163446,0
41.78,63,12807.801752,0
-38.29,54,12808.396617,0
-53.32,54,12808.921139,0
-83.3,102,12809.955579,0
-35.31,101,12810.988981,0
-53.02,114,12812.135329,0
-35.64,49,12812.735193,0
-37.31,203,12814.640803,0
-44.71,46,12815.098283,0
-38.61,24,12815.337091,0
-43.92,105,12816.347778,0
71.63,144,12817.765201,0
34.84,88,12818.594705,0
-30.08,83,12819.417693,0
-37.45,34,12819.861583,0
37.85,145,12821.572972,0
-39.9,48,12822.1004,0
-41.55,40,12822.489136,0
-35.69,69,12823.239368,0
73.12,185,12825.604621,0
58.85,60,12826.240154,0
61.28,65,12826.910001,0
-41.15,51,12827.562562,0
43.93,37,12827.944782,0
60.28,64,12828.679835,0
58.05,38,12829.267795,0
50.87,54,12829.872316,0
-36.84,64,12830.599977,0
24.57,71,12831.393846,0
57.63,58,12832.006053,0
-56.57,79,12832.812582,0
62.08,70,12833.598748,0
43.45,213,12836.519785,0
-36.61,132,12838.295625,0
52.83,38,12838.794355,0
58.37,52,12839.478904,0
-36.32,55,12840.268233,0
39.23,121,12842.046716,0
50.6,29,12842.424491,0
-57.22,32,12842.912006,0
-31.26,93,12844.271747,0
56.75,81,12845.308837,0
-54.21,107,12846.517193,0
58.96,64,12847.160764,0
-41.43,54,12847.669085,0
57.1,60,12848.311193,0
-49.56,64,12849.038655,0
58.46,86,12849.885616,0
-50.97,41,12850.288754,0
43.4,66,12850.969746,0
62.27,83,12851.788521,0
56.37,54,12852.309851,0
-36.11,95,12853.346294,0
-4.72,82,12854.243174,0
-27.56,114,12855.797204,0
-42.66,50,12856.391975,0
-112.19,117,12857.89646,0
52.02,132,12859.337695,0
-41.48,61,12859.948039,0
-37.83,50,12860.446163,0
-21.8,148,12861.99776,0
55.26,77,12862.849002,0
50.93,26,12863.125021,0
-31.28,92,12864.087121,0
47.36,35,12864.473267,0
-28.17,93,12865.559344,0
-28.34,153,12867.803727,0
-22.37,168,12870.274745,0
59.07,69,12871.224914,0
197.24,54,12871.810929,1
-33.28,72,12872.718442,0
37.75,177,12875.153576,0
26.59,77,12876.228897,0
64.17,101,12877.3739,0
55.84,77,12878.205073,0
-39.79,34,12878.601867,0
-38.56,42,12879.018541,0
-22.76,124,12880.33093,0
54.57,117,12881.569151,0
-29.72,89,12882.565787,0
50.65,25,12882.827188,0
-28.42,108,12883.992376,0
-31.12,92,12885.014629,0
55.18,105,12886.128217,0
-36.57,122,12887.391658,0
-40.5,37,12887.780628,0
53.45,63,12888.547896,0
-41.39,69,12889.322386,0
49.25,175,12891.286062,0
-36.51,83,12892.108807,0
-34.7,64,12892.775303,0
60.78,54,12893.360319,0
-27.95,78,12894.189599,0
220.11,105,12895.551028,1
-40.38,73,12896.404787,0
-41.26,72,12897.266424,0
51.4,25,12897.612648,0
-34.24,45,12898.131676,0
51.92,73,12898.967597,0
-36.6,98,12899.985402,0
34.0,83,12900.843904,0
57.76,48,12901.320256,0
49.13,62,12901.953315,0
56.33,31,12902.260915,0
49.7,154,12903.875707,0
-119.89,60,12904.457606,0
65.99,103,12905.57858,0
-42.1,50,12906.07247,0
-34.64,108,12907.202157,0
-69.88,140,12908.581437,0
-41.78,59,12909.244551,0
65.67,87,12910.208337,0
44.74,60,12910.866485,0
-60.98,110,12912.107792,0
79.9,96,12913.14686,1
70.39,149,12914.606638,0
-40.79,42,12915.044119,0
46.55,55,12915.60094,0
41.95,69,12916.290848,0
-37.75,44,12916.758888,0
-36.97,73,12917.556148,0
-1.28,115,12918.766629,0
56.86,59,12919.354817,0
-18.78,138,12920.908582,0
55.64,83,12921.828975,0
60.88,87,12922.70631,0
60.59,58,12923.358737,0
-26.08,77,12924.180716,0
-36.62,52,12924.728667,0
-88.51,132,12926.170635,0
-51.04,79,12927.076218,0
-30.42,76,12927.875578,0
-44.33,90,12928.871347,0
58.07,86,12929.934467,0
64.65,98,12931.161541,0
-34.05,69,12932.024879,0
56.23,61,12932.690248,0
-51.29,134,12934.140115,0
50.36,76,12935.065604,0
-33.53,86,12936.126805,0
-19.52,128,12937.923815,0
57.34,115,12939.526038,0
39.96,58,12940.222506,0
41.09,122,12941.804866,0
60.26,80,12942.771252,0
-34.54,73,12943.690588,0
14.77,143,12945.434027,0
-46.81,79,12946.32124,0
64.73,101,12947.586711,0
59.42,63,12948.327188,0
-98.16,129,12949.88577,0
54.99,41,12950.379961,0
-105.08,94,12951.66383,0
45.12,79,12952.655746,0
63.06,76,12953.5385,0
-105.53,86,12954.495193,0
56.48,47,12954.972921,0
-88.61,73,12955.869995,0
-38.07,59,12956.510749,0
5.47,97,12957.628254,0
-34.01,88,12958.489166,0
63.91,93,12959.424529,0
63.69,125,12960.711696,0
-1.19,129,12962.049934,0
56.57,45,12962.527886,0
-183.22,109,12963.657739,0
-34.35,72,12964.359362,0
-40.49,34,12964.685985,0
-35.06,72,12965.37705,0
-165.41,176,12967.1422,0
-56.4,34,12967.488017,0
-38.77,46,12967.938662,0
-0.23,87,12968.939131,0
-69.96,83,12969.9939,0
-33.6,67,12970.756052,0
63.52,100,12971.820169,0
60.14,65,12972.478068,0
64.28,99,12973.468273,0
-63.38,92,12974.356892,0
-31.07,89,12975.210523,0
-30.21,72,12975.88815,0
-28.85,82,12976.673781,0
-36.6,57,12977.260077,0
63.2,60,12977.793312,0
-40.34,32,12978.08672,0
-36.18,54,12978.572041,0
63.15,92,12979.434949,0
-33.74,63,12980.075714,0
57.73,67,12980.7243,0
51.33,29,12981.004905,0
-22.47,98,12981.907607,0
-173.6,97,12982.859355,0
-34.2,81,12983.627588,0
17.03,73,12984.281099,0
-175.85,67,12984.93047,0
-79.57,27,12985.222311,0
-26.0,108,12986.328336,0
50.62,23,12986.524537,0
54.03,41,12986.953723,0
-1218.77,407,12990.739836,0
-62.56,77,12991.520372,0
-30.67,72,12992.223185,0
-45.25,45,12992.610333,0
-27.55,100,12993.597029,0
-98.39,113,12994.71818,0
-150.15,108,12995.739392,0
-153.85,184,12997.524213,0
57.38,41,12997.922197,0
-165.68,182,12999.708215,0
-235.27,119,13000.887732,0
-0.73,93,13001.726537,0
52.0,89,13002.514421,0
66.77,84,13003.358651,0
56.3,56,13003.893093,0
-30.78,189,13006.083574,0
68.35,102,13007.467064,0
13.01,66,13008.153002,0
-51.13,77,13009.021042,0
-34.09,53,13009.708156,0
-179.52,123,13011.04772,0
-33.75,51,13011.566632,0
-378.07,159,13013.338901,0
65.99,125,13014.720113,0
-47.2,97,13015.842111,0
-35.42,58,13016.457211,0
-41.73,16,13016.627506,0
58.24,40,13017.027062,0
-153.64,112,13018.138434,0
-31.5,97,13019.193329,0
-36.83,104,13020.255646,0
-35.98,77,13021.039256,0
55.14,42,13021.458209,0
-70.13,217,13023.704495,0
64.08,65,13024.445345,0
54.95,56,13025.001797,0
-101.45,59,13025.58377,0
56.8,56,13026.159409,0
60.18,53,13026.775426,0
70.71,119,13028.185594,0
-31.39,56,13028.997483,0
-96.84,73,13029.756894,0
-83.66,74,13030.576663,0
-122.57,141,13031.957423,0
54.29,50,13032.455275,0
55.7,42,13032.844825,0
55.01,53,13033.408221,0
-35.61,104,13034.406142,0
-41.39,59,13034.959653,0
-25.94,181,13037.071138,0
1.02,103,13038.225087,0
-479.07,271,13041.244333,0
15.96,76,13042.02976,0
-40.6,35,13042.424023,0
-508.51,209,13044.547019,0
-48.76,111,13045.689512,0
-97.82,101,13046.697641,0
-111.1,159,13048.397177,0
71.23,115,13049.577098,0
-36.93,52,13050.122476,0
-29.4,93,13051.064586,0
-33.03,74,13051.794833,0
-23.85,129,13053.132193,0
-27.91,75,13053.839688,0
123.9,77,13054.650605,1
-42.92,91,13055.579966,0
-40.87,31,13055.984568,0
-75.35,77,13056.748989,0
-156.41,83,13057.759368,0
45.64,71,13058.541467,0
-42.66,17,13058.704122,0
-24.57,108,13059.994245,0
-165.35,123,13061.467325,0
59.87,64,13062.244145,0
68.51,93,13063.252285,0
52.91,49,13063.798556,0
60.2,55,13064.423424,0
-157.08,95,13065.438666,0
-35.52,38,13065.795724,0
60.52,113,13066.9878,0
-24.39,99,13067.943999,0
53.77,27,13068.228433,0
-149.63,62,13068.941454,0
56.7,33,13069.270197,0
61.53,59,13069.894084,0
-34.5,63,13070.615695,0
-31.78,58,13071.260575,0
-36.85,51,13071.826987,0
-107.02,153,13073.442495,0
-25.86,82,13074.301297,0
64.03,70,13075.049136,0
54.22,45,13075.512068,0
68.3,111,13076.620301,0
-31.91,64,13077.355875,0
-29.78,83,13078.221066,0
-68.77,79,13079.011095,0
-104.2,187,13080.978663,0
-95.16,84,13081.86029,0
-43.57,22,13082.076313,0
-23.4,96,13083.096674,0
-503.26,215,13085.246522,0
-32.48,89,13086.14113,0
-57.63,68,13086.788922,0
31.47,94,13087.664143,0
54.79,39,13088.067619,0
-24.91,99,13089.099175,0
61.6,74,13089.823303,0
-40.29,33,13090.170133,0
-46.31,93,13091.207514,0
-29.06,76,13091.991616,0
63.95,93,13092.9501,0
-40.21,44,13093.346231,0
34.08,96,13094.330651,0
-88.38,80,13095.073838,0
59.73,69,13095.787391,0
-65.89,100,13096.786156,0
-41.64,52,13097.311725,0
71.47,123,13098.589798,0
-35.31,68,13099.311021,0
-41.1,40,13099.698235,0
-38.35,51,13100.213742,0
-28.74,82,13101.026078,0
-37.94,76,13101.898702,0
-38.04,34,13102.276186,0
-43.17,25,13102.50493,0
-154.81,136,13103.806881,0
-31.52,88,13104.664493,0
51.84,140,13106.119663,0
52.99,86,13106.987909,0
60.68,65,13107.689211,0
57.44,46,13108.145281,0
64.09,86,13109.043429,0
-207.96,139,13110.408407,0
-802.58,291,13113.187923,0
-473.31,256,13115.670029,0
-39.96,34,13116.036362,0
-37.45,57,13116.621226,0
-31.65,158,13118.181255,0
-80.48,145,13119.581782,0
54.0,68,13120.253703,0
-85.97,118,13121.424613,0
-182.22,113,13122.554293,0
57.96,63,13123.153649,0
-27.67,86,13124.032889,0
54.96,34,13124.338304,0
1.93,105,13125.337128,0
-31.33,69,13126.026961,0
59.75,58,13126.537931,0
-118.38,83,13127.324604,0
-33.35,59,13127.918332,0
-283.24,225,13129.992135,0
61.82,89,13130.86492,0
-566.44,284,13133.920846,0
-284.69,105,13134.856611,0
45.28,57,13135.415494,0
-382.47,183,13137.162214,0
-33.51,65,13137.811347,0
-26.43,85,13138.64028,0
-39.71,45,13139.049565,0
11.97,77,13139.772339,0
127.04,121,13140.956561,1
-21.68,124,13142.156092,0
-211.01,129,13143.483889,0
-36.66,37,13143.841228,0
57.76,61,13144.457112,0
-128.51,119,13145.580122,0
-37.73,44,13145.987001,0
-33.14,66,13146.636014,0
34.12,89,13147.489426,0
-79.3,51,13147.977467,0
-37.79,24,13148.187983,0
63.67,88,13149.026604,0
54.63,115,13150.158823,0
61.43,85,13151.020443,0
-65.38,45,13151.509251,0
-38.07,71,13152.252648,0
53.07,39,13152.636457,0
-33.32,75,13153.438371,0
-263.61,154,13154.966331,0
-54.28,139,13156.298171,0
53.51,47,13156.778996,0
-304.94,185,13158.51356,0
-37.28,51,13159.054171,0
-117.31,121,13160.229436,0
62.88,70,13160.963835,0
-29.39,75,13161.687061,0
-23.69,124,13162.877254,0
19.16,148,13164.350368,0
-38.72,40,13164.742088,0
-215.63,136,13166.101043,0
66.26,73,13166.792067,0
-113.14,204,13168.88856,0
-35.92,57,13169.442959,0
-652.81,295,13172.463512,0
52.38,27,13172.740705,0
-33.65,55,13173.269109,0
46.2,97,13174.190694,0
-30.96,67,13174.777172,0
-36.56,54,13175.314204,0
64.93,84,13176.175462,0
-377.11,143,13177.588837,0
-94.59,80,13178.3273,0
-122.25,108,13179.38241,0
-122.59,123,13180.541963,0
55.13,38,13180.94063,0
30.92,81,13181.685832,0
-124.34,153,13183.173296,0
-39.19,40,13183.562355,0
-36.37,76,13184.308413,0
-32.46,64,13184.976388,0
28.22,184,13186.890726,0
59.95,60,13187.488023,0
59.08,67,13188.124476,0
50.29,23,13188.359095,0
57.54,59,13188.969004,0
70.4,108,13190.027002,0
-636.51,243,13192.381581,0
-35.26,60,13192.962128,0
-37.72,49,13193.456551,0
-37.4,45,13193.873463,0
-145.6,169,13195.530661,0
-36.53,47,13196.046901,0
-322.55,316,13199.129889,0
-36.27,47,13199.611193,0
60.83,69,13200.315283,0
-102.54,115,13201.589439,0
-39.04,43,13201.997328,0
-40.57,41,13202.459541,0
9.8,116,13203.619044,0
61.57,66,13204.242565,0
-45.05,17,13204.40627,0
-37.16,57,13205.039115,0
-28.01,87,13206.058944,0
57.03,42,13206.55419,0
66.36,79,13207.512265,0
31.91,74,13208.250589,0
-41.92,27,13208.565864,0
-27.72,110,13209.790945,0
54.96,77,13211.024717,0
-330.42,118,13212.878315,0
-28.13,78,13214.192081,0
62.82,99,13215.596585,0
-331.72,196,13218.293498,0
5.03,103,13219.644745,0
-76.22,63,13220.434692,0
59.16,55,13221.177421,0
-302.61,216,13223.753613,0
111.4,82,13224.648565,1
-41.15,65,13225.428068,0
-36.9,60,13226.067209,0
64.26,79,13226.947825,0
-306.13,280,13230.048953,0
51.66,100,13231.094006,0
66.63,108,13232.211688,0
-36.92,50,13232.767475,0
-38.38,83,13233.712703,0
63.3,74,13234.525421,0
-36.14,77,13235.490116,0
75.48,167,13237.24878,0
-39.25,35,13237.603985,0
-119.19,93,13238.612454,0
59.0,46,13239.129805,0
60.6,47,13239.678602,0
-80.25,66,13240.364174,0
-43.78,58,13240.93296,0
53.41,38,13241.336078,0
-40.18,34,13241.66124,0
56.34,56,13242.220996,0
-35.29,50,13242.745936,0
-140.03,196,13244.757389,0
-25.69,137,13246.149114,0
-33.84,77,13246.881558,0
51.89,29,13247.16829,0
-39.37,39,13247.566324,0
57.3,48,13248.156896,0
64.1,103,13249.230779,0
-39.43,44,13249.648065,0
-33.46,75,13250.44075,0
-32.62,74,13251.207986,0
60.8,67,13251.904053,0
-30.48,76,13252.68257,0
-31.41,91,13253.6405,0
-30.56,90,13254.617609,0
-1.45,90,13255.811296,0
-35.01,61,13256.575182,0
62.05,89,13257.66891,0
-30.18,83,13258.593213,0
-57.52,100,13259.711791,0
-22.21,171,13261.539247,0
68.89,92,13262.503234,0
63.76,92,13263.511123,0
-30.75,86,13264.457659,0
-38.68,39,13264.94607,0
55.94,52,13265.564342,0
-70.18,121,13266.850415,0
-26.94,102,13267.867999,0
-40.17,28,13268.126796,0
-51.13,92,13269.07142,0
-34.45,56,13269.63144,0
50.46,51,13270.126321,0
59.72,104,13271.235124,0
-462.52,204,13273.340719,0
-35.56,78,13274.21946,0
58.47,61,13274.867083,0
110.97,16,13275.046877,1
-41.85,28,13275.314317,0
-94.83,62,13275.996211,0
55.58,50,13276.485008,0
-34.14,110,13277.637271,0
-29.73,128,13279.111635,0
56.87,40,13279.564899,0
-20.77,124,13280.990449,0
-27.16,94,13282.013006,0
-496.01,167,13283.907796,0
-38.43,44,13284.398367,0
-26.98,104,13285.643311,0
60.54,61,13286.306772,0
-231.43,222,13288.969998,0
-35.4,51,13289.446495,0
68.84,111,13290.621722,0
-159.77,61,13291.257103,0
-40.28,54,13291.907234,0
69.69,121,13293.124252,0
54.98,25,13293.382217,0
-96.81,178,13295.326279,0
-41.79,28,13295.6297,0
-37.67,31,13295.989476,0
-37.16,43,13296.447194,0
-514.25,214,13299.028031,0
62.33,59,13299.729205,0
-43.49,27,13300.001844,0
69.47,142,13301.711283,0
-136.62,145,13303.294881,0
-39.61,65,13303.982461,0
68.89,110,13305.198447,0
-55.54,116,13306.438067,0
58.8,62,13307.141739,0
45.02,114,13308.519056,0
-115.55,161,13310.378314,0
-30.27,62,13311.282917,0
-200.65,205,13313.475078,0
-123.08,63,13314.181008,0
-35.08,60,13314.799355,0
-16.54,92,13315.749052,0
-49.05,72,13316.579821,0
58.14,44,13317.027419,0
-28.24,89,13317.897545,0
6.19,167,13319.662252,0
-45.63,41,13320.098954,0
-49.58,57,13320.677876,0
-36.54,81,13321.518942,0
-33.91,69,13322.268411,0
-133.51,79,13323.033185,0
-32.21,69,13323.779465,0
61.03,89,13324.808075,0
-25.44,119,13326.023487,0
-35.09,57,13326.631339,0
-33.26,159,13328.303015,0
-39.6,41,13328.684397,0
-38.16,91,13329.675324,0
-43.51,26,13329.929158,0
-37.06,34,13330.388764,0
55.67,81,13331.541964,0
-27.67,123,13333.046455,0
64.66,81,13333.967962,0
-25.03,126,13335.3469,0
61.14,77,13336.211555,0
57.26,57,13336.819079,0
-867.35,310,13340.070283,0
-46.63,53,13340.65586,0
-37.07,63,13341.323708,0
53.24,97,13342.360586,0
-29.98,68,13343.10895,0
53.67,43,13343.526865,0
-38.47,42,13344.050399,0
-37.15,88,13344.948566,0
-206.44,80,13345.767818,0
62.07,79,13346.574635,0
65.68,109,13347.707564,0
-159.24,173,13349.524695,0
32.9,48,13350.043857,0
-135.59,171,13351.886534,0
-7.81,125,13353.114308,0
47.33,61,13353.732693,0
58.72,57,13354.358568,0
57.38,74,13355.207112,0
67.19,114,13356.44507,0
50.42,26,13356.727453,0
-40.3,42,13357.273813,0
-31.9,88,13358.38843,0
-37.4,47,13358.935178,0
64.44,67,13359.712451,0
56.59,53,13360.308367,0
-42.51,26,13360.644576,0
-37.9,85,13361.690884,0
-374.0,177,13363.802567,0
-34.27,55,13364.514767,0
60.76,74,13365.356028,0
64.08,92,13366.337837,0
16.75,82,13367.146666,0
65.93,95,13368.142848,0
52.53,34,13368.518795,0
-326.97,187,13370.448206,0
62.19,87,13371.406646,0
57.86,40,13371.836621,0
-42.29,123,13373.31627,0
-339.54,157,13374.950792,0
-477.18,177,13376.881341,0
59.45,67,13377.593476,0
-53.61,82,13378.513585,0
-35.97,60,13379.17601,0
-294.65,164,13380.878692,0
-30.01,93,13381.871453,0
-349.0,166,13383.575452,0
-716.86,257,13386.25997,0
-185.84,154,13387.888068,0
52.82,37,13388.295346,0
-27.31,102,13389.470087,0
58.64,86,13390.815403,0
-40.19,34,13391.238901,0
-35.67,41,13391.684958,0
66.51,101,13392.740529,0
-34.84,61,13393.362844,0
-23.65,147,13395.180176,0
-62.85,67,13395.977603,0
-600.11,227,13398.576011,0
-37.84,58,13399.181363,0
-29.29,102,13400.313209,0
-287.61,184,13402.159195,0
15.34,62,13403.560775,0
58.59,57,13404.416301,0
-133.45,71,13405.241135,0
-221.93,94,13406.393282,0
55.33,48,13406.883152,0
-36.23,69,13407.611226,0
-42.03,56,13408.214677,0
-25.92,103,13409.326042,0
53.44,37,13409.766299,0
-205.43,94,13410.926731,0
-41.25,35,13411.374375,0
-23.61,113,13412.819122,0
65.26,75,13413.738087,0
59.37,76,13414.59343,0
61.14,67,13415.301848,0
-37.01,53,13415.874835,0
-90.97,145,13417.400967,0
56.87,50,13417.968,0
66.01,110,13419.115644,0
68.27,87,13420.039509,0
48.53,111,13421.266668,0
-39.63,66,13422.101645,0
75.77,145,13423.699053,0
-46.38,39,13424.074018,0
-462.18,202,13426.190505,0
-36.58,142,13427.723397,0
21.38,122,13429.011318,0
58.52,110,13430.115751,0
48.51,40,13430.527069,0
58.13,53,13431.116369,0
-27.13,101,13432.168679,0
-63.75,149,13433.76326,0
54.61,68,13434.457943,0
54.21,39,13434.973073,0
-27.99,101,13436.304639,0
-43.73,22,13436.576586,0
-83.38,144,13438.181823,0
-33.01,56,13438.747305,0
-26.02,102,13439.78295,0
63.2,60,13440.413735,0
-33.65,108,13441.617927,0
-1119.55,359,13445.50466,0
-335.22,201,13447.762633,0
-29.97,104,13448.947309,0
-31.93,81,13450.233677,0
-39.16,45,13450.847361,0
-37.19,66,13451.549706,0
65.56,143,13453.074488,0
-35.57,94,13453.985426,0
-54.47,94,13454.909016,0
-33.82,63,13455.54091,0
53.46,42,13456.080999,0
120.12,72,13457.023689,1
-33.09,63,13457.661153,0
-38.16,61,13458.212083,0
-181.74,228,13460.41564,0
-41.07,31,13460.723377,0
-27.03,102,13461.655628,0
-30.15,82,13462.50997,0
-32.96,72,13463.242769,0
53.9,32,13463.574275,0
-124.31,121,13464.915355,0
-95.28,135,13466.432238,0
67.73,118,13467.712584,0
-25.22,120,13469.01584,0
-33.03,69,13469.846429,0
62.11,68,13470.764432,0
61.39,59,13471.486729,0
-30.55,70,13472.329116,0
-39.41,90,13473.325907,0
65.98,91,13474.314762,0
-34.07,64,13474.972047,0
-291.46,191,13477.208649,0
50.58,30,13477.543996,0
65.81,99,13478.644274,0
57.98,52,13479.292354,0
-446.43,220,13481.602366,0
20.75,108,13482.759485,0
62.38,58,13483.398744,0
54.01,44,13483.921898,0
62.42,64,13484.664435,0
-37.23,66,13485.362022,0
-28.42,96,13486.391983,0
55.91,51,13486.896369,0
-167.82,118,13488.050862,0
-46.35,66,13488.740441,0
-37.95,49,13489.269188,0
-37.09,66,13489.956833,0
-27.17,89,13490.832355,0
-189.95,208,13493.636171,0
60.54,57,13494.315596,0
53.29,83,13495.286007,0
-31.59,65,13496.04441,0
55.59,27,13496.328517,0
-55.83,104,13497.430886,0
60.93,75,13498.337893,0
-51.57,146,13499.862901,0
53.71,39,13500.342637,0
60.76,64,13501.061669,0
66.35,103,13502.105918,0
12.98,122,13503.597056,0
-65.5,71,13504.495552,0
-33.92,67,13505.312723,0
-101.09,85,13506.32674,0
64.16,94,13507.647974,0
-422.8,121,13509.443107,0
56.07,40,13510.055271,0
-36.04,74,13511.647201,0
57.75,51,13512.193274,0
-43.25,23,13512.460144,0
-148.82,102,13513.4717,0
-122.18,138,13514.900624,0
-35.17,59,13515.475738,0
58.0,103,13516.443583,0
-20.22,114,13517.64372,0
60.21,41,13518.008368,0
5.88,61,13518.605982,0
-29.56,85,13519.451389,0
68.31,109,13520.531042,0
-35.13,47,13520.964442,0
-35.14,70,13521.61264,0
-73.4,56,13522.167986,0
-33.06,82,13522.901244,0
-30.69,64,13523.498765,0
-316.6,174,13525.606631,0
-11.29,73,13526.763683,1
70.76,126,13528.151203,0
126.49,99,13529.154632,1
57.61,51,13530.086187,0
-35.79,46,13530.661768,0
-25.92,108,13532.079979,0
-43.64,37,13532.550401,0
66.41,105,13534.155308,0
-152.14,89,13535.521341,0
-275.53,90,13536.737805,0
56.16,56,13537.513995,0
-36.57,57,13538.255919,0
-22.63,146,13540.042532,0
117.24,69,13540.827813,1
61.67,117,13542.099188,0
-55.41,141,13543.527421,0
67.39,111,13544.685666,0
-29.12,109,13545.780464,0
64.35,70,13546.496883,0
50.89,25,13546.741325,0
64.96,87,13547.594457,0
-28.46,87,13548.471279,0
-29.19,79,13549.240816,0
-22.45,118,13550.498522,0
57.2,27,13550.775975,0
66.03,74,13551.492804,0
-106.96,86,13552.365952,0
-71.81,134,13553.702142,0
-41.49,27,13553.966438,0
117.36,55,13554.490303,1
-92.42,93,13555.43365,0
-32.27,87,13556.30825,0
29.8,145,13557.823098,0
53.5,45,13558.269494,0
-117.48,89,13559.115584,0
-69.86,86,13559.986138,0
-48.67,58,13560.619427,0
54.35,37,13561.071892,0
70.68,108,13562.34679,0
58.68,60,13562.962073,0
-48.52,75,13563.724949,0
-171.87,133,13565.190117,0
-27.74,107,13566.270636,0
54.65,49,13566.81518,0
-110.95,138,13568.195955,0
37.87,84,13569.041692,0
-66.14,102,13570.233749,0
-41.6,115,13571.425177,0
-35.03,163,13573.097389,0
-39.91,43,13573.515543,0
50.64,37,13573.878802,0
-33.18,49,13574.380949,0
-32.95,55,13574.989916,0
56.82,53,13575.612477,0
-32.29,64,13576.329661,0
-36.38,65,13577.077215,0
-31.64,95,13578.104351,0
54.91,44,13578.595024,0
60.53,52,13579.128114,0
61.5,57,13579.77178,0
-32.04,84,13580.644254,0
